"Brand_Reg","Count"
"SAMSUNG ELECTRONICS",314
"LG",257
"KOGAN",181
"HISENSE",117
"SAMSUNG",100
"PHILIPS",99
"JVC",90
"SONY",90
"TCL",88
"EKO",82
"PANASONIC",73
"BLAUPUNKT",53
"BAUHN",48
"TOSHIBA",45
"CHIQ",43
"AIWA",35
"LINSAR",32
"SYLVOX",29
"FFALCON",26
"KONKA",26
"VEON",26
"AKAI",23
"ENGLAON",17
"LOEWE",17
"KONIC",16
"SKYWORTH",16
"SHARP",11
"CAIXUN",10
"POLAROID",10
"TEAC",9
"TECO",9
"COOCAA",8
"PRISM+",8
"HYUNDAI",7
"METZ",7
"SPARK ELECTRONICS",7
"DGTEC",6
"DIGITECH",6
"AOA",5
"EMETE",5
"QBELL",5
"SPHERE",5
"TELEFUNKEN",5
"YOKOHAMA",5
"FURRION",4
"MONSTER",4
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"WALTON",4
"ALTIUS",3
"AVEL INNOVATIONS",3
"MYVI",3
"SMTV",3
"SONIQ",3
"ZEN TV",3
"DEVANTI",2
"GORILLA",2
"HUBBL GLASS",2
"ILUMA",2
"THOMSON",2
"ARK",1
"DECAMAX",1
"DYNALINK",1
"FPD",1
"HUBBL",1
"KODAK",1
"LSP TV",1
"PALSONIC",1
"Q.BELL",1
"RCA",1
"S VISION",1
"SHARETV",1
"SIGNIFY",1
"SMARTTECH",1
"STAN CASH",1
"SVISION",1
"TAVICE",1
"TENET",1
"VDT",1
"WINTAL",1
